date,city,state,weather,road_type,visibility,traffic_density,festival,cause,day_of_week,hour,is_weekend,is_peak_hour,temperature,lanes,traffic_signal,vehicles_involved,casualties,risk_score,latitude,longitude,accident_severity
2025-04-26,Bengaluru,Karnataka,Rainy,Urban,High,High,Holi,Poor Road Condition,Saturday,10,1,1,30,3,1,5,0,32.88,13.15636,77.765925,minor
2025-06-10,Bengaluru,Karnataka,Clear,Urban,Medium,Low,None,Distracted Driving,Tuesday,0,0,0,16,5,1,3,0,30.68,12.92623,77.69796,minor
2024-09-30,Kolkata,West Bengal,Rainy,Urban,Low,Low,Diwali,Speeding,Monday,14,0,0,26,6,0,5,0,22.45,22.459385,88.543812,minor
2025-06-25,Mumbai,Maharashtra,Cloudy,Urban,Low,High,None,Distracted Driving,Wednesday,13,0,0,35,6,1,3,3,58.57,19.1299,72.978162,minor
2024-03-22,Mumbai,Maharashtra,Clear,Urban,High,High,Holi,Poor Road Condition,Friday,21,0,0,24,2,1,5,1,51.54,19.192942,72.934664,minor
2025-04-25,Pune,Maharashtra,Cloudy,Rural,Medium,High,Holi,Over-speeding,Friday,22,0,0,26,2,0,3,1,67.32,18.69687,73.708569,minor
2024-05-11,Kolkata,West Bengal,Cloudy,Urban,Medium,Low,Eid,Distracted Driving,Saturday,11,1,0,24,3,1,3,0,33.19,22.41526,88.48571,major
2024-07-10,Hyderabad,Telangana,Clear,Urban,Low,Medium,Eid,Speeding,Wednesday,2,0,0,22,6,1,2,4,38.42,17.515842,78.571302,fatal
2025-07-09,Pune,Maharashtra,Foggy,Highway,High,High,Diwali,Distracted Driving,Wednesday,16,0,0,29,6,0,3,4,83.33,18.444829,73.957827,minor
2025-01-27,Delhi,Delhi,Rainy,Rural,Low,Low,Christmas,Drunk Driving,Monday,18,0,1,23,2,0,2,2,44.84,28.446386,77.176875,fatal
2025-08-29,Pune,Maharashtra,Cloudy,Rural,Medium,High,Eid,Poor Road Condition,Friday,9,0,1,12,5,1,2,3,79.7,18.351771,73.74663,minor
2025-09-25,Hyderabad,Telangana,Foggy,Rural,Medium,High,Holi,Speeding,Thursday,22,0,0,15,6,1,4,1,38.37,17.438023,78.671193,minor
2024-03-30,Delhi,Delhi,Foggy,Urban,High,Medium,Eid,Poor Road Condition,Saturday,19,1,1,35,2,1,2,4,93.22,28.647265,77.362336,minor
2024-10-26,Hyderabad,Telangana,Cloudy,Rural,Medium,High,None,Distracted Driving,Saturday,18,1,1,17,2,0,1,4,77.45,17.23433,78.602298,major
2024-09-18,Mumbai,Maharashtra,Cloudy,Rural,Medium,High,None,Distracted Driving,Wednesday,5,0,0,19,3,0,3,3,45.87,19.012078,72.779043,fatal
2025-08-01,Delhi,Delhi,Cloudy,Urban,High,High,None,Poor Road Condition,Friday,22,0,0,8,1,1,3,4,75.57,28.773984,77.118159,major
2025-05-10,Bengaluru,Karnataka,Foggy,Rural,Low,High,Eid,Distracted Driving,Saturday,21,1,0,30,6,0,5,2,85.29,12.85095,77.41255,minor
2024-04-27,Hyderabad,Telangana,Clear,Rural,Medium,Low,Diwali,Speeding,Saturday,14,1,0,19,6,0,3,1,80.71,17.279006,78.379505,major
2025-04-19,Jaipur,Rajasthan,Cloudy,Rural,Medium,Medium,Eid,Over-speeding,Saturday,11,1,0,24,6,0,4,2,62.56,26.905243,75.606535,minor
2024-01-10,Mumbai,Maharashtra,Cloudy,Rural,High,Medium,None,Distracted Driving,Wednesday,9,0,1,38,1,0,5,0,96.45,19.041174,73.053848,fatal
2025-05-07,Delhi,Delhi,Cloudy,Urban,Low,Medium,Christmas,Distracted Driving,Wednesday,8,0,1,25,4,0,1,3,29.58,28.788193,77.124932,minor
2025-01-12,Chennai,Tamil Nadu,Cloudy,Rural,Low,Low,None,Over-speeding,Sunday,12,1,0,17,3,0,4,4,49.74,12.940463,80.215663,minor
2025-01-23,Pune,Maharashtra,Rainy,Urban,Low,Low,Eid,Poor Road Condition,Thursday,15,0,0,13,6,0,4,1,61.81,18.409999,73.894855,major
2025-01-30,Pune,Maharashtra,Cloudy,Rural,Low,Low,Holi,Distracted Driving,Thursday,8,0,1,13,3,0,4,1,28.59,18.549644,73.727122,major
2024-12-07,Pune,Maharashtra,Foggy,Urban,High,High,None,Poor Road Condition,Saturday,12,1,0,28,1,1,4,3,37.42,18.327004,73.917478,minor
2025-02-03,Chennai,Tamil Nadu,Clear,Highway,Medium,High,None,Distracted Driving,Monday,4,0,0,24,1,1,5,3,89.61,13.268722,80.394626,major
2024-11-03,Delhi,Delhi,Clear,Highway,High,High,Diwali,Over-speeding,Sunday,16,1,0,38,6,0,5,3,49.19,28.477937,77.377765,minor
2025-09-01,Bengaluru,Karnataka,Cloudy,Urban,Medium,Medium,None,Drunk Driving,Monday,10,0,1,31,3,0,4,0,98.86,13.048958,77.762573,major
2025-09-15,Jaipur,Rajasthan,Clear,Urban,Medium,High,Christmas,Over-speeding,Monday,19,0,1,38,1,0,2,4,39.78,27.022772,75.91745,major
2024-05-11,Chennai,Tamil Nadu,Rainy,Urban,Medium,Medium,None,Over-speeding,Saturday,12,1,0,12,2,1,5,4,42.97,13.026582,80.263512,major
2025-09-14,Bengaluru,Karnataka,Foggy,Highway,Low,High,Diwali,Speeding,Sunday,2,1,0,30,4,0,4,3,73.31,13.134477,77.528999,major
2024-06-07,Bengaluru,Karnataka,Foggy,Urban,High,High,Christmas,Drunk Driving,Friday,7,0,0,39,6,0,4,1,20.46,13.038359,77.701712,minor
2025-09-14,Bengaluru,Karnataka,Rainy,Urban,High,High,Eid,Poor Road Condition,Sunday,7,1,0,39,1,1,2,2,84.23,13.011051,77.558576,minor
2024-06-09,Pune,Maharashtra,Foggy,Rural,Medium,Medium,Eid,Drunk Driving,Sunday,13,1,0,31,3,0,4,1,91.75,18.418556,73.959976,major
2025-07-17,Mumbai,Maharashtra,Clear,Rural,Low,Low,Christmas,Distracted Driving,Thursday,11,0,0,28,4,1,3,0,79.77,19.011367,72.722146,minor
2024-11-23,Delhi,Delhi,Clear,Highway,High,High,Christmas,Distracted Driving,Saturday,16,1,0,39,5,1,3,2,59.96,28.445652,77.093858,minor
2025-01-20,Jaipur,Rajasthan,Cloudy,Rural,Medium,Medium,Diwali,Over-speeding,Monday,6,0,0,22,2,1,4,3,42.12,26.94203,75.976927,minor
2025-05-06,Chennai,Tamil Nadu,Rainy,Highway,Low,Medium,Holi,Poor Road Condition,Tuesday,18,0,1,15,5,0,3,0,34.51,13.076669,80.153394,minor
2024-09-07,Pune,Maharashtra,Foggy,Highway,Medium,Low,None,Poor Road Condition,Saturday,9,1,1,26,1,1,1,2,57.86,18.62102,73.667268,major
2025-10-18,Pune,Maharashtra,Cloudy,Highway,Low,Low,Diwali,Drunk Driving,Saturday,18,1,1,39,4,0,4,3,21.29,18.533453,73.953293,minor
2025-08-17,Hyderabad,Telangana,Clear,Urban,Medium,Medium,Holi,Distracted Driving,Sunday,3,1,0,35,3,0,5,3,71.64,17.395861,78.496289,major
2025-06-02,Kolkata,West Bengal,Foggy,Rural,Medium,Medium,None,Over-speeding,Monday,23,0,0,15,6,1,3,2,96.65,22.661709,88.536982,minor
2025-03-21,Mumbai,Maharashtra,Foggy,Highway,Medium,Medium,Diwali,Distracted Driving,Friday,7,0,0,38,4,1,2,3,71.22,18.907744,72.766604,minor
2025-06-11,Kolkata,West Bengal,Cloudy,Urban,Medium,Low,Christmas,Speeding,Wednesday,14,0,0,41,4,1,3,3,67.41,22.640125,88.503238,minor
2024-05-09,Chennai,Tamil Nadu,Rainy,Rural,High,High,None,Speeding,Thursday,23,0,0,28,5,0,3,2,48.05,12.928024,80.162746,minor
2025-07-17,Hyderabad,Telangana,Foggy,Highway,Medium,High,Christmas,Speeding,Thursday,11,0,0,22,3,1,2,2,52.7,17.528892,78.582454,minor
2024-04-15,Pune,Maharashtra,Rainy,Rural,High,Low,None,Distracted Driving,Monday,4,0,0,29,2,0,3,1,90.14,18.467771,74.034656,major
2025-08-22,Hyderabad,Telangana,Clear,Rural,Medium,Low,Christmas,Over-speeding,Friday,21,0,0,15,5,1,1,4,59.21,17.380518,78.538382,minor
2025-05-31,Pune,Maharashtra,Rainy,Rural,Medium,Low,Eid,Distracted Driving,Saturday,20,1,0,23,1,1,4,1,66.48,18.645582,73.946594,major
2025-01-29,Jaipur,Rajasthan,Clear,Rural,Medium,High,Christmas,Distracted Driving,Wednesday,13,0,0,40,3,1,1,0,74.89,26.829335,75.985681,minor
2025-03-30,Delhi,Delhi,Rainy,Rural,Medium,Low,Christmas,Speeding,Sunday,22,1,0,13,1,1,5,1,76.85,28.689794,77.068026,minor
2024-05-31,Hyderabad,Telangana,Rainy,Urban,Medium,Medium,Holi,Speeding,Friday,14,0,0,29,5,1,1,2,54.03,17.233427,78.470225,major
2024-07-27,Hyderabad,Telangana,Cloudy,Highway,Medium,High,Diwali,Poor Road Condition,Saturday,18,1,1,13,6,1,1,4,73.7,17.306663,78.484638,minor
2024-07-24,Hyderabad,Telangana,Clear,Urban,High,High,Eid,Drunk Driving,Wednesday,22,0,0,38,2,1,5,1,89.63,17.563223,78.299995,minor
2025-12-15,Pune,Maharashtra,Foggy,Highway,High,Low,Eid,Poor Road Condition,Monday,0,0,0,34,4,0,1,1,62.78,18.447429,73.875704,minor
2024-01-29,Pune,Maharashtra,Cloudy,Rural,Medium,Low,Eid,Poor Road Condition,Monday,5,0,0,17,1,1,5,1,44.81,18.409478,73.69807,minor
2024-01-03,Chennai,Tamil Nadu,Rainy,Rural,High,High,Diwali,Poor Road Condition,Wednesday,13,0,0,21,1,1,5,2,74.68,13.083444,80.461811,major
2025-06-12,Jaipur,Rajasthan,Cloudy,Urban,High,Low,Christmas,Distracted Driving,Thursday,3,0,0,35,3,1,1,3,57.98,26.860957,75.960914,minor
2025-04-04,Hyderabad,Telangana,Foggy,Urban,High,Low,Diwali,Distracted Driving,Friday,7,0,0,38,6,0,3,0,43.49,17.256534,78.562078,major
2024-01-27,Mumbai,Maharashtra,Foggy,Urban,Low,Medium,Holi,Over-speeding,Saturday,20,1,0,29,4,1,3,3,70.34,18.894586,72.686212,fatal
2024-04-26,Kolkata,West Bengal,Foggy,Highway,Medium,Low,Eid,Drunk Driving,Friday,0,0,0,23,1,1,4,0,61.84,22.420153,88.470511,minor
2024-03-29,Mumbai,Maharashtra,Foggy,Rural,Medium,Medium,None,Over-speeding,Friday,10,0,1,26,1,1,4,2,23.6,18.892573,73.009404,fatal
2025-07-19,Hyderabad,Telangana,Clear,Rural,Low,High,Holi,Over-speeding,Saturday,9,1,1,38,1,1,5,4,74.54,17.555741,78.440471,minor
2025-09-30,Kolkata,West Bengal,Foggy,Urban,Low,Medium,Christmas,Speeding,Tuesday,7,0,0,22,6,1,2,4,37.4,22.489753,88.219942,fatal
2024-11-07,Bengaluru,Karnataka,Foggy,Rural,Low,Low,Eid,Speeding,Thursday,11,0,0,41,6,0,2,2,25.17,13.076871,77.513315,minor
2024-09-23,Bengaluru,Karnataka,Cloudy,Urban,Low,Low,Christmas,Speeding,Monday,8,0,1,10,6,0,3,2,36.94,13.134473,77.678622,major
2024-10-06,Delhi,Delhi,Cloudy,Urban,Low,Low,Diwali,Speeding,Sunday,22,1,0,27,1,1,1,3,24.07,28.64572,77.387088,minor
2024-03-16,Chennai,Tamil Nadu,Clear,Rural,Low,Low,Eid,Distracted Driving,Saturday,15,1,0,42,5,0,2,0,38.39,13.133383,80.188323,minor
2025-11-26,Mumbai,Maharashtra,Clear,Urban,High,Low,Eid,Drunk Driving,Wednesday,5,0,0,28,3,1,4,1,49.58,18.968654,72.739615,major
2024-08-12,Hyderabad,Telangana,Clear,Highway,Medium,Medium,Christmas,Poor Road Condition,Monday,13,0,0,36,4,0,2,4,48.37,17.384269,78.584943,major
2025-05-15,Kolkata,West Bengal,Foggy,Highway,Low,Low,Christmas,Poor Road Condition,Thursday,8,0,1,36,1,1,2,1,27.16,22.507341,88.362314,minor
2024-02-07,Jaipur,Rajasthan,Rainy,Urban,High,Medium,Diwali,Distracted Driving,Wednesday,8,0,1,13,4,1,1,2,41.0,26.754316,75.661442,minor
2024-10-17,Kolkata,West Bengal,Rainy,Rural,Medium,High,Christmas,Drunk Driving,Thursday,11,0,0,31,3,0,5,0,86.82,22.745411,88.49102,major
2024-09-17,Delhi,Delhi,Cloudy,Urban,High,Low,Christmas,Over-speeding,Tuesday,19,0,1,20,4,0,5,3,94.47,28.708277,77.133983,major
2025-05-01,Bengaluru,Karnataka,Cloudy,Highway,Low,Medium,Diwali,Speeding,Thursday,21,0,0,27,4,1,3,0,83.74,12.945732,77.44419,fatal
2024-07-14,Hyderabad,Telangana,Rainy,Urban,Medium,Medium,Eid,Speeding,Sunday,9,1,1,20,2,1,2,0,36.63,17.287332,78.335852,major
2024-12-18,Hyderabad,Telangana,Clear,Rural,Low,Medium,Diwali,Over-speeding,Wednesday,2,0,0,31,2,1,3,0,49.42,17.546046,78.488027,fatal
2025-06-06,Delhi,Delhi,Rainy,Rural,High,Medium,Holi,Distracted Driving,Friday,8,0,1,12,2,1,2,1,44.55,28.690807,77.082732,major
2025-05-15,Chennai,Tamil Nadu,Clear,Rural,High,Low,Eid,Distracted Driving,Thursday,16,0,0,18,4,0,2,1,90.27,12.93285,80.249563,minor
2025-03-25,Jaipur,Rajasthan,Cloudy,Rural,Medium,High,Christmas,Speeding,Tuesday,9,0,1,26,4,1,4,2,66.69,26.772819,75.817371,minor
2025-09-13,Kolkata,West Bengal,Rainy,Highway,High,Medium,Eid,Drunk Driving,Saturday,19,1,1,39,2,1,4,4,40.85,22.698593,88.549475,major
2025-12-04,Delhi,Delhi,Rainy,Urban,Low,Medium,Eid,Poor Road Condition,Thursday,10,0,1,21,2,0,2,0,51.75,28.774677,77.293496,major
2024-04-19,Chennai,Tamil Nadu,Cloudy,Rural,High,Medium,Holi,Drunk Driving,Friday,15,0,0,10,2,0,2,1,28.14,13.010259,80.459821,minor
2025-06-08,Mumbai,Maharashtra,Clear,Urban,Medium,Medium,Christmas,Speeding,Sunday,0,1,0,18,2,1,2,4,24.67,18.923694,72.916497,minor
2024-07-17,Hyderabad,Telangana,Clear,Urban,Medium,High,Holi,Poor Road Condition,Wednesday,2,0,0,38,5,0,3,3,39.69,17.508648,78.630802,fatal
2024-01-23,Mumbai,Maharashtra,Cloudy,Urban,High,High,Eid,Over-speeding,Tuesday,21,0,0,23,6,1,3,0,43.18,18.891149,72.734159,minor
2024-05-26,Bengaluru,Karnataka,Cloudy,Rural,Low,High,Holi,Over-speeding,Sunday,9,1,1,29,1,0,4,0,95.42,13.08214,77.52954,minor
2024-05-08,Jaipur,Rajasthan,Clear,Rural,Medium,Low,None,Drunk Driving,Wednesday,2,0,0,38,5,1,1,3,30.88,26.958451,75.796681,minor
2025-07-31,Delhi,Delhi,Cloudy,Rural,Medium,Low,Eid,Poor Road Condition,Thursday,19,0,1,33,4,1,1,4,37.15,28.634838,77.31412,minor
2024-04-26,Bengaluru,Karnataka,Clear,Urban,High,Medium,Holi,Speeding,Friday,9,0,1,41,6,1,1,2,80.35,13.003026,77.472604,minor
2025-09-09,Delhi,Delhi,Clear,Highway,Medium,High,Eid,Over-speeding,Tuesday,4,0,0,33,1,1,1,1,98.8,28.788199,77.205975,minor
2025-10-30,Hyderabad,Telangana,Rainy,Highway,High,Low,Eid,Over-speeding,Thursday,14,0,0,42,1,1,2,1,67.68,17.515472,78.355868,minor
2025-11-17,Pune,Maharashtra,Rainy,Urban,Medium,Low,None,Drunk Driving,Monday,21,0,0,23,5,1,4,2,43.33,18.576754,73.859044,major
2024-11-14,Jaipur,Rajasthan,Foggy,Urban,Low,Low,None,Distracted Driving,Thursday,11,0,0,19,6,1,4,1,51.98,27.107196,75.921635,minor
2025-05-04,Chennai,Tamil Nadu,Foggy,Rural,Low,Medium,None,Drunk Driving,Sunday,11,1,0,29,5,0,5,3,48.87,12.888144,80.367374,major
2024-02-02,Pune,Maharashtra,Clear,Rural,High,Low,Eid,Over-speeding,Friday,19,0,1,14,6,0,2,2,99.31,18.603045,73.657646,fatal
2024-08-02,Chennai,Tamil Nadu,Clear,Urban,Low,Medium,Christmas,Distracted Driving,Friday,7,0,0,24,1,0,1,0,44.99,12.895098,80.425362,minor
2024-08-01,Chennai,Tamil Nadu,Rainy,Highway,Medium,Low,Holi,Distracted Driving,Thursday,10,0,1,11,6,0,1,3,79.46,12.934881,80.225232,major
2024-08-24,Chennai,Tamil Nadu,Cloudy,Highway,Medium,Low,Christmas,Over-speeding,Saturday,3,1,0,20,1,0,1,3,26.86,13.062251,80.311526,minor
2024-11-20,Kolkata,West Bengal,Foggy,Highway,Medium,Low,Christmas,Poor Road Condition,Wednesday,14,0,0,31,1,0,5,0,20.45,22.704618,88.48945,fatal
2025-03-27,Jaipur,Rajasthan,Foggy,Highway,Medium,Low,Diwali,Poor Road Condition,Thursday,7,0,0,31,1,1,4,1,48.92,26.817893,75.683223,minor
2024-06-02,Delhi,Delhi,Rainy,Rural,Medium,Medium,None,Speeding,Sunday,22,1,0,33,4,1,4,0,33.48,28.646348,77.395745,major
2025-04-01,Hyderabad,Telangana,Cloudy,Urban,High,High,Diwali,Poor Road Condition,Tuesday,14,0,0,10,3,1,1,3,46.97,17.245464,78.572042,major
2025-12-11,Pune,Maharashtra,Foggy,Highway,Medium,Low,Diwali,Poor Road Condition,Thursday,21,0,0,37,5,0,4,4,88.95,18.359853,74.045022,minor
2024-04-26,Hyderabad,Telangana,Clear,Urban,High,High,Diwali,Speeding,Friday,2,0,0,18,3,1,3,2,97.29,17.36084,78.316445,minor
2025-03-30,Chennai,Tamil Nadu,Cloudy,Rural,Medium,Low,Christmas,Speeding,Sunday,2,1,0,34,4,1,3,2,72.37,13.099799,80.260934,major
2024-07-15,Delhi,Delhi,Clear,Highway,Low,Low,Eid,Distracted Driving,Monday,8,0,1,13,4,0,4,0,36.5,28.764635,77.054342,major
2025-04-07,Bengaluru,Karnataka,Rainy,Highway,Low,High,None,Distracted Driving,Monday,6,0,0,18,1,0,3,3,66.97,12.914662,77.730033,minor
2024-01-13,Kolkata,West Bengal,Clear,Rural,High,High,Diwali,Drunk Driving,Saturday,0,1,0,16,4,0,4,4,85.59,22.432021,88.280263,major
2025-03-07,Mumbai,Maharashtra,Rainy,Urban,Low,Low,Diwali,Speeding,Friday,8,0,1,15,3,1,3,2,72.71,19.253052,72.735498,minor
2024-05-09,Bengaluru,Karnataka,Clear,Rural,Medium,Medium,Holi,Speeding,Thursday,7,0,0,13,4,1,4,0,37.95,13.094278,77.771163,major
2024-04-10,Hyderabad,Telangana,Foggy,Rural,High,Low,Diwali,Distracted Driving,Wednesday,20,0,0,33,3,0,1,3,42.93,17.287848,78.36203,minor
2024-04-10,Chennai,Tamil Nadu,Foggy,Rural,Medium,Low,Eid,Speeding,Wednesday,13,0,0,28,6,1,1,0,75.28,12.967978,80.46286,fatal
2024-08-17,Mumbai,Maharashtra,Foggy,Rural,Medium,High,Holi,Speeding,Saturday,20,1,0,8,4,0,4,4,54.26,19.210244,72.977464,minor
2025-01-19,Pune,Maharashtra,Clear,Rural,Low,Low,None,Drunk Driving,Sunday,1,1,0,14,6,1,3,2,59.08,18.655525,73.752878,minor
2025-12-19,Kolkata,West Bengal,Foggy,Rural,Low,High,Eid,Over-speeding,Friday,7,0,0,35,5,1,1,0,73.19,22.573385,88.308,minor
2024-09-04,Hyderabad,Telangana,Cloudy,Urban,High,Medium,None,Poor Road Condition,Wednesday,2,0,0,21,4,0,1,0,61.47,17.433551,78.509504,minor
2024-10-02,Pune,Maharashtra,Clear,Rural,Low,Medium,Holi,Poor Road Condition,Wednesday,20,0,0,9,3,1,1,4,48.01,18.68908,73.717964,minor
2025-06-27,Mumbai,Maharashtra,Cloudy,Rural,High,Medium,Eid,Poor Road Condition,Friday,8,0,1,11,4,0,5,4,70.81,18.944764,72.708486,minor
2024-04-02,Mumbai,Maharashtra,Foggy,Urban,High,High,Eid,Over-speeding,Tuesday,19,0,1,39,5,0,5,4,99.75,19.174051,72.69927,major
2024-04-01,Chennai,Tamil Nadu,Rainy,Rural,High,Medium,Christmas,Drunk Driving,Monday,3,0,0,16,5,0,2,1,39.31,12.915224,80.202429,minor
2025-05-25,Pune,Maharashtra,Foggy,Highway,Low,High,Holi,Poor Road Condition,Sunday,4,1,0,30,4,0,4,1,75.13,18.600122,74.039889,minor
2024-04-04,Kolkata,West Bengal,Foggy,Highway,Medium,High,Eid,Over-speeding,Thursday,6,0,0,17,2,1,4,1,75.96,22.717767,88.235859,minor
2025-11-23,Mumbai,Maharashtra,Rainy,Highway,Low,Medium,Holi,Speeding,Sunday,9,1,1,36,5,0,4,2,28.95,19.135793,72.859838,minor
2024-05-26,Kolkata,West Bengal,Clear,Rural,Medium,High,Holi,Drunk Driving,Sunday,10,1,1,22,6,0,5,2,48.71,22.711954,88.43745,minor
2025-05-21,Pune,Maharashtra,Rainy,Urban,Medium,High,Holi,Distracted Driving,Wednesday,19,0,1,21,4,1,4,1,37.8,18.609064,73.696518,minor
2024-05-10,Mumbai,Maharashtra,Rainy,Highway,High,Medium,None,Speeding,Friday,18,0,1,12,2,0,1,0,22.35,19.007269,72.826882,minor
2024-07-01,Delhi,Delhi,Cloudy,Rural,Medium,High,Diwali,Speeding,Monday,8,0,1,18,2,0,2,1,38.25,28.481951,77.022352,minor
2024-09-12,Pune,Maharashtra,Foggy,Rural,Medium,Low,Christmas,Drunk Driving,Thursday,16,0,0,21,5,0,2,3,20.95,18.531117,73.798003,minor
2025-06-15,Pune,Maharashtra,Cloudy,Rural,High,Low,Holi,Speeding,Sunday,6,1,0,35,6,0,2,3,71.96,18.526746,73.903608,major
2025-04-02,Chennai,Tamil Nadu,Foggy,Highway,Low,Low,None,Distracted Driving,Wednesday,2,0,0,42,3,1,5,4,64.73,13.191743,80.169241,minor
2024-07-21,Delhi,Delhi,Foggy,Rural,Medium,High,Holi,Poor Road Condition,Sunday,14,1,0,15,1,0,2,3,24.9,28.513983,77.115633,minor
2024-11-09,Bengaluru,Karnataka,Foggy,Urban,High,Medium,Eid,Speeding,Saturday,11,1,0,8,3,0,3,2,72.0,12.974682,77.446667,fatal
2024-09-27,Chennai,Tamil Nadu,Clear,Rural,High,High,None,Poor Road Condition,Friday,17,0,1,19,5,0,5,2,24.64,13.254892,80.362364,minor
2025-05-18,Kolkata,West Bengal,Rainy,Urban,Low,Medium,Diwali,Over-speeding,Sunday,15,1,0,37,1,1,4,2,28.03,22.726301,88.486644,major
2024-08-09,Chennai,Tamil Nadu,Clear,Urban,High,Medium,Eid,Distracted Driving,Friday,23,0,0,39,1,1,2,1,27.25,13.111928,80.465467,minor
2025-12-14,Jaipur,Rajasthan,Clear,Rural,Medium,Medium,Holi,Speeding,Sunday,2,1,0,23,4,0,1,1,40.45,26.735229,75.782366,major
2025-04-22,Mumbai,Maharashtra,Rainy,Urban,Low,High,Holi,Speeding,Tuesday,0,0,0,34,1,0,1,0,42.94,19.243817,72.884644,major
2025-05-03,Delhi,Delhi,Clear,Urban,High,Medium,Eid,Drunk Driving,Saturday,4,1,0,16,3,1,5,2,94.53,28.511434,77.153074,minor
2024-03-03,Hyderabad,Telangana,Foggy,Highway,Low,High,Christmas,Speeding,Sunday,13,1,0,29,6,0,4,3,69.94,17.232859,78.296391,fatal
2024-06-11,Pune,Maharashtra,Clear,Rural,Medium,Medium,Christmas,Poor Road Condition,Tuesday,23,0,0,9,2,1,3,0,93.63,18.535244,73.884048,minor
2025-07-06,Jaipur,Rajasthan,Foggy,Urban,Medium,Medium,Diwali,Distracted Driving,Sunday,23,1,0,42,1,1,3,2,99.68,26.725847,75.713138,minor
2025-10-13,Delhi,Delhi,Clear,Urban,Low,High,Diwali,Distracted Driving,Monday,11,0,0,38,3,0,5,1,23.88,28.705638,77.267395,major
2025-09-07,Hyderabad,Telangana,Rainy,Highway,High,Low,Holi,Drunk Driving,Sunday,23,1,0,13,3,0,3,4,24.17,17.437031,78.294342,major
2024-09-17,Mumbai,Maharashtra,Cloudy,Urban,Medium,High,Diwali,Speeding,Tuesday,8,0,1,11,1,0,3,0,21.8,19.161284,72.779648,minor
2024-09-14,Hyderabad,Telangana,Cloudy,Urban,Low,Low,Diwali,Poor Road Condition,Saturday,19,1,1,36,3,0,3,3,21.51,17.582409,78.507339,minor
2024-10-15,Bengaluru,Karnataka,Cloudy,Highway,Medium,Medium,Eid,Speeding,Tuesday,12,0,0,13,2,0,4,4,46.51,12.803248,77.789696,minor
2024-06-23,Mumbai,Maharashtra,Clear,Urban,Medium,Low,Diwali,Speeding,Sunday,21,1,0,15,3,1,5,0,44.66,18.91954,73.053733,minor
2024-03-13,Pune,Maharashtra,Foggy,Highway,Low,Medium,Diwali,Distracted Driving,Wednesday,15,0,0,38,6,1,2,0,70.07,18.596712,74.013785,major
2025-12-18,Bengaluru,Karnataka,Clear,Rural,Medium,Medium,Eid,Speeding,Thursday,7,0,0,18,3,1,4,0,53.06,12.873192,77.51161,minor
2025-08-30,Jaipur,Rajasthan,Foggy,Urban,Low,High,Christmas,Over-speeding,Saturday,13,1,0,24,6,1,1,4,38.23,26.915795,75.896358,minor
2024-09-04,Mumbai,Maharashtra,Rainy,Urban,Low,High,Diwali,Distracted Driving,Wednesday,14,0,0,18,5,1,3,4,27.39,19.219678,73.043879,minor
2025-06-26,Kolkata,West Bengal,Foggy,Highway,High,High,Diwali,Distracted Driving,Thursday,18,0,1,29,5,1,4,1,90.56,22.690823,88.225767,minor
2025-07-27,Kolkata,West Bengal,Cloudy,Rural,High,High,Eid,Over-speeding,Sunday,23,1,0,38,4,1,4,2,88.3,22.560609,88.246211,minor
2024-11-25,Delhi,Delhi,Foggy,Highway,Medium,Low,Christmas,Speeding,Monday,7,0,0,42,4,0,4,1,87.73,28.64256,77.131645,major
2025-04-13,Jaipur,Rajasthan,Cloudy,Rural,Medium,Low,Christmas,Speeding,Sunday,13,1,0,15,5,0,3,1,50.44,26.813647,75.724305,fatal
2024-04-25,Chennai,Tamil Nadu,Cloudy,Rural,Medium,Low,Christmas,Drunk Driving,Thursday,14,0,0,34,4,1,5,0,22.09,13.032607,80.331741,major
2025-08-28,Chennai,Tamil Nadu,Cloudy,Urban,High,High,Diwali,Drunk Driving,Thursday,20,0,0,36,4,1,1,2,22.72,13.204684,80.409048,minor
2024-02-26,Pune,Maharashtra,Foggy,Rural,High,High,None,Drunk Driving,Monday,4,0,0,31,3,1,5,2,22.86,18.65269,73.905064,fatal
2025-04-14,Hyderabad,Telangana,Rainy,Urban,Medium,High,Holi,Distracted Driving,Monday,10,0,1,24,3,1,3,2,78.61,17.468807,78.548498,major
2025-11-20,Jaipur,Rajasthan,Rainy,Highway,Medium,High,Diwali,Over-speeding,Thursday,13,0,0,8,6,1,1,4,91.88,27.093206,75.899439,major
2024-06-13,Pune,Maharashtra,Cloudy,Highway,Low,High,Holi,Distracted Driving,Thursday,15,0,0,32,5,1,5,4,59.84,18.699103,73.878829,minor
2024-06-10,Kolkata,West Bengal,Cloudy,Urban,High,Low,Eid,Distracted Driving,Monday,23,0,0,42,1,0,4,3,74.51,22.495093,88.380283,minor
2024-07-20,Kolkata,West Bengal,Foggy,Highway,High,Medium,Christmas,Distracted Driving,Saturday,22,1,0,14,4,1,2,3,59.66,22.684972,88.436205,minor
2024-05-22,Kolkata,West Bengal,Cloudy,Highway,Medium,Medium,Christmas,Speeding,Wednesday,8,0,1,15,4,0,4,4,46.69,22.714412,88.438538,minor
2024-12-17,Bengaluru,Karnataka,Rainy,Urban,High,Low,Eid,Poor Road Condition,Tuesday,19,0,1,12,3,1,5,3,62.41,12.963743,77.59845,minor
